qt,PART,              DESCRIPTION,PART#,VNDR,VNDR#,COST,UNIT,VOLT,PHASE,AMPS,ASSEMBLY,TAGS,NOTES,LAST PRICE UPDATE,MANUAL Link
,ENC,HAMMOND N4X POLYCARBONATE ENCL - 4.7 X 4.7 X 3.15,1554P2GY,GLA,3744613,$39.18,ea.,,,,ENCLOSURE,,,1/23/2024,
,ENC,"C11345M Custom Cut 1554PGY, Quote MODQU18000908-C (qty based on 30)",MOD STC,GLA,3810003,$22.59,ea.,,,,ENCLOSURE,,,5/12/2025,
,PAN,Back Plate for 1554P2GY,ABP86A,GLA,,,ea.,,,,ENCLOSURE,,,,
,ENC,SERPAC RB55  (4.72HX4.72WX4.13H) Black PolyCarb NEMA4X,RB55P14B28B,SER,,$21.02,ea.,,,,ENCLOSURE,,,,
,DIS,"30AMP CLASS CC COMPACT FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS AND SHROUDS",GLAS-R4-30-CC-KIT,GLA,4188549,$175.91,ea.,,,30.0A,DISCONNECT,,,5/21/2025,
,DIS,"30AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",GLAS-R9-30-J-KIT,GLA,4188553,$206.80,ea.,,,30.0A,DISCONNECT,,,5/21/2025,
,DIS,"60AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",GLAS-R9-60-J-KIT,GLA,4188551,$227.09,ea.,,,60.0A,DISCONNECT,,,5/21/2025,
,DIS,"CH Selector Handle, Red",SHR00N4X,GLA,2826903,$16.12,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,"CH Selector Handle, Red",SHR0N4X,GLA,3704158,$38.63,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,"100AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",GLAS-R9-100-J-KIT,GLA,4188552,$345.75,ea.,,,100.0A,DISCONNECT,,,5/21/2025,
,DIS,"200AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",GLAS-R9-200-J-KIT,GLA,4312467,$821.03,ea.,,,200.0A,DISCONNECT,,,5/21/2025,
,DIS,"Shaft, 15.7"", Use w/ Size 1 or 2 Pistol Handle, 10X10",SF400PH10X10,GLA,2833858,$11.15,ea.,,,,DISCONNECT,,,4/23/2025,
,DIS,"Pistol Handle, Red, Size 1, EMA 4/4X, for Front Operation",PHR1N4XF,GLA,2839346,$46.97,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,"R9J3060FJ CH UL98, J-Frame, 60A, J-Fusible Rotary, 100kAIC",R9J3060FJ,GLA,2839341,$168.97,ea.,,,60.0A,DISCONNECT,,,5/21/2025,
,DIS,"Terminal Shroud, 3 Pole (use with R9 D-Frames) TOP ONLY",TS3R9DT,GLA,2815353,$24.43,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,"Terminal Shroud, 3 Pole (use with R9 D-Frames) BOTTOM ONLY",TS3R9DB,GLA,2815354,$31.24,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,"CH Selector Handle, Black",SHB00N4X,GLA,2929289,$16.12,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,3P/30A/600V Disconnect CC Fuse (wShaft and Handle),194R-C30-1753-PYS1,KDL,,$132.43,ea.,600 VAC,3,30.0A,DISCONNECT,,,10/1/2023,
,DIS,3P/30A/600V Disconnect J Fuse (wShaft and Handle),194R-J30-1753-PYS1,KDL,,$139.40,ea.,600 VAC,3,30.0A,DISCONNECT,,,10/1/2023,
,DIS,3P/60A/600V Disconnect J Fuse (wShaft and Handle),194R-J60-1753-PYS1,KDL,2967019,$227.85,ea.,600 VAC,3,60.0A,DISCONNECT,,,6/14/2024,
,DIS,3P/100A/600V Disconnect J Fuse (NO SHAFT AND HANDLE),194R-J100-1753,KDL,2900864,$306.84,ea.,600 VAC,3,100.0A,DISCONNECT,,,10/1/2023,
,DIS,3P/200A/600V Disconnect J Fuse (NO SHAFT AND HANDLE),194R-J200-1753,KDL,2907068,$533.33,ea.,600 VAC,3,200.0A,DISCONNECT,,,10/1/2023,
,DIS,AB Operating Shaft,194R-R7,KDL,2897165,$29.62,ea.,,,,DISCONNECT,,,10/1/2023,
,DIS,AB Rotary Door Handle Red/Yellow,194R-PY,KDL,2903112,$31.12,ea.,,,,DISCONNECT,,,10/1/2023,
,DIS,AB Rotary Door Handle Red/Yellow (Heavy Duty),194R-HM4E,KDL,3577,$112.10,ea.,,,,DISCONNECT,,,6/14/2024,
,DIS,CH Safety Switch Fusible,DG221NGB,KDL,2016271,$68.91,ea.,,,,DISCONNECT,,,2/19/2025,
,FUS,BUS FUSE 250V TK8R,FRNR8,KDL,21714,$13.25,ea.,250 VAC,,,DISCONNECT,,,2/19/2025,
,DIS,ABB 3 POLE 60A CLASS J FUSIBLE DISCONNECT,OS60GJ12,GLA,2915865,$231.75,ea.,,,60.0A,DISCONNECT,,,10/17/2024,
,GND,2/0AWG AL 1HOLE LUG LAMLA2/0-14Q,ADR21ITB,GLA,38927,$1.82,ea.,,,0.0A,DISCONNECT,,,1/22/2024,
,DIS,"30AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",GLAS-R9-30-NF-KIT,GLA,4194055,$104.42,ea.,,,30.0A,DISCONNECT,,,5/21/2025,
,DIS,"60AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",GLAS-R9-60-NF-KIT,GLA,4194057,$115.26,ea.,,,60.0A,DISCONNECT,,,5/21/2025,
,DIS,UL98 C-FRAME 3-POLE 60 AMP NON-FUSED DISCONNECT,R9C3060U,GLA,2822187,$95.04,ea.,,3,60.0A,DISCONNECT,,,5/21/2025,
,DIS,Shaft for use with Handle & Disconnect Above,SF320SH5X5,GLA,2828067,$4.10,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,"100AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",GLAS-R9-100-NF-KIT,GLA,4565343,$149.73,ea.,,,100.0A,DISCONNECT,,,5/21/2025,
,DIS,"200AMP NON-FUSED Disconnect Kit, Shaft, Handle, Lugs, Shrouds",GLAS-R9-200-NF-KIT,GLA,4312464,$396.40,ea.,,,200.0A,DISCONNECT,,,5/21/2025,
,DIS,UL98 D-FRAME 3-POLE 200AMP NON-FUSED DISCONNECT,R9D3200U,GLA,2812812,$268.91,ea.,,3,200.0A,DISCONNECT,,,5/21/2025,
,DIS,"Pistol Handle, Size 2 for 200A Non-Fused Disconnect Above",PNR2N12F,GLA,2815352,$38.38,ea.,,,200.0A,DISCONNECT,,,5/21/2025,
,DIS,Shaft for use with Handle & Disconnect Above,SF400PH10X10,GLA,2833858,$11.15,ea.,,,,DISCONNECT,,,5/21/2025,
