VENDORCODE,PART ABBREV.,Vendor Part Code,Manufacturer PART NUMBER,PART DESCRIPTION & DETAILS,COST,Unit/Qty,SUB CATEGORY,LAST PRICE UPDATE,SHELF QTY,Notes,ORDER QTY (MATT),TOTAL COST (MATT),ADD TO ORDER (MATT)
AMZ,PEPP,‎BXG PC1/4-N2,‎BXG PC1/4-N2,"1/4"" OD PTC to 1/4"" NPT Straight (NEED TWO)",$9.99,qty2,,02/12/25,,,,$0.00,
AMZ,PEPP,"HN1/4""-20","HN1/4""-20","1/4"" NPT Hex Nut (NEED ONE)",$9.99,qty100,,,,,,$0.00,
OTP,PEPP,,NC-6-4-SS,Purge & Pressurization Access,,,,,,,,$0.00,
OTP,PEPP,,NC-6-8-SS,Purge & Pressurization Access,,,,,,,,$0.00,
OTP,PEPP,,EFC-6-SS,Purge & Pressurization Access,,,,,,,,$0.00,
OTP,PEPP,,EFC-4-SS,Purge & Pressurization Access,,,,,,,,$0.00,
VAL,VLV,570302,Valworx 570302,"Valworx - 1"" Pneumatic Sanitary Ball Valve, Spring Return, Tri-Clamp",$557.60,ea.,VALVE,07/05/23,,,,$0.00,
VAL,VLV,570303,Valworx 570303,"Valworx - 1.5"" Pneumatic Sanitary Ball Valve, Spring Return, Tri-Clamp",$768.80,ea.,VALVE,07/05/23,,,,$0.00,
INT,LVL,505-187-L120,LTX03-LP-XD3-P12-A-12-N,"Continuous Level Sensor, 12"" 4-20mA","$1,004.85",ea.,SENSOR,07/05/23,,,,$0.00,
INT,LVL,505-187-L200,LTX03-LP-XD3-P12-A-20-N,"Continuous Level Sensor, 20"" 4-20mA","$1,024.65",ea.,SENSOR,07/05/23,,,,$0.00,
GRY,PREG,8104667,VPPI-5L-3-G18-0L6H-A4-S1D,"Festo Proportional Pressure Regulator, 4-20mA, 0-87PSI",$352.18,ea.,PROP. PRESS CONTROL,,,,,$0.00,
OTP,PREG,,ITV2030-01N2CL4,SMC Electric Pressure Regulator 1-70PSI 4-20mA,$367.07,ea.,,04/18/22,,,,$0.00,
KDL,MRK,2579608,1492-MR6X8,AB Blank Marker,$10.40,ea.,,10/01/25,,Marker block has 50 tags,,$0.00,
GLA,PRINTER,5037994,4296071,Cembre Mini-Rolly Ribbon (Black TPPS-060),$115.00,ea.,CEMBRE MINI-ROLLY,08/18/25,,Cembre Mini-Rolly Ribbon (Lasts ~8 months on average),,$0.00,
GLA,PRINTER,4682551,8403004WVYG,Cembre 100x100 White Label,$478.72,1100pc,CEMBRE MINI-ROLLY,01/24/24,,1000pc/box; SUMMARY TAG,,$0.00,
GLA,PRINTER,4682553,4529115,Cembre 16x16 White Label 8402000WVYG,$383.11,21050pc,CEMBRE MINI-ROLLY,01/24/24,,21050pc/box; 4 week lead; BASE TAG,,$0.00,
GLA,PRINTER,4716037,8400053PPYG,Cembre 4531684 50x80 GY TTL Label,$606.10,2200pc,CEMBRE MINI-ROLLY,01/24/24,,2200pc/box; 7-10 day lead; FUSE/TORQUE LABEL,,$0.00,
GLA,PRINTER,4422324,4295460,Cembre Marker KM-Roll 025 61955-015N (25x15 WH),$235.45,8500pc,CEMBRE MINI-ROLLY,01/24/24,,8500pc/box; 7-10 day lead; WIRE LABEL,,$0.00,
GLA,PRINTER,3701532,4116912,Cembre Legend MG-PTSA 15191 (50x30 WH),$205.50,150pc,CEMBRE MG3,01/22/24,,150pc/box; 22MM LIGHT/SWITCH TAG,,$0.00,
GLA,PRINTER,3910465,4117557,Cembre Plate MG-VRT-A 88908 25x80MM White Self-Adhesive,$135.94,100pc,CEMBRE MG3,01/22/24,,100pc/box; 5-10 day lead; VFD KEYPAD LABEL,,$0.00,
GLA,PRINTER,4377864,4101650,Cembre Tag MG-ETF 64192-SBS (13x57 White),$178.60,700pc,CEMBRE MG3,09/06/24,,700pc/box; tags for pneumatic/tube wires (secured with zipties),,$0.00,
KDL,PRINTER,2708276,M21-375-499,"M21-375-499 Brady 3/8"" Nylon Cloth Black on White",$27.44,ea.,,10/01/25,,,,$0.00,
IFM,PT,PI1705,PI1705,"Pressure Transducer, 20-30 VDC, -14.6-58PSI, G1 ,-25-150C",$440.20,ea.,SENSOR,12/19/24,,,,$0.00,
IFM,PT,PI1709,PI1709,"Pressure Transducer, 18-32VDC, -14.5-14.5PSI,",$440.20,ea.,SENSOR,12/19/24,,,,$0.00,
